NúmeroDeDistribuição,Ano,Mês,Ente,SiglaEstado,CodigoEnte,NomeEnte,TipoDistribuição,Substância,TipoAfetamento,Valor,DataCriacao
245,2007,2,Município,MG,3168606.0,TEÓFILO OTONI,Produtor,ARGILA,-,"8,8725000000000000000",2006-12-31 00:00:00
245,2007,2,Município,MG,3134004.0,ITINGA,Produtor,ESPODUMÊNIO,-,"487,4415000000000000000",2006-11-30 00:00:00
245,2007,2,Município,MG,3103405.0,ARAÇUAÍ,Produtor,ESPODUMÊNIO,-,"487,4415000000000000000",2006-11-30 00:00:00
245,2007,2,Município,MG,3148707.0,PEDRA AZUL,Produtor,GRAFITA,-,"34519,5695000000000000000",2006-11-30 00:00:00
245,2007,2,Município,MG,3141405.0,MEDINA,Produtor,GRANITO,-,"4521,6145000000000000000",2006-12-31 00:00:00
245,2007,2,Município,MG,3133303.0,ITAOBIM,Produtor,GRANITO,-,"1280,0060000000000000000",2006-11-30 00:00:00
245,2007,2,Município,MG,3134004.0,ITINGA,Produtor,MINÉRIO DE OURO,-,"50,5440000000000000000",2006-12-31 00:00:00
246,2007,2,Município,MG,3119500.0,CORONEL MURTA,Produtor,GRANITO,-,"244,4390000000000000000",2006-01-31 00:00:00
247,2007,3,Município,MG,3168606.0,TEÓFILO OTONI,Produtor,ARGILA,-,"8,8725000000000000000",2007-01-31 00:00:00
247,2007,3,Município,MG,3134004.0,ITINGA,Produtor,ESPODUMÊNIO,-,"922,5905000000000000000",2006-12-31 00:00:00
247,2007,3,Município,MG,3103405.0,ARAÇUAÍ,Produtor,ESPODUMÊNIO,-,"922,5905000000000000000",2006-12-31 00:00:00
247,2007,3,Município,MG,3148707.0,PEDRA AZUL,Produtor,GRAFITA,-,"31901,2655000000000000000",2006-12-31 00:00:00
247,2007,3,Município,MG,3141405.0,MEDINA,Produtor,GRANITO,-,"8034,6435000000000000000",2007-01-31 00:00:00
247,2007,3,Município,MG,3134004.0,ITINGA,Produtor,GRANITO,-,"5936,4955000000000000000",2007-01-31 00:00:00
247,2007,3,Município,MG,3133303.0,ITAOBIM,Produtor,GRANITO,-,"966,9985000000000000000",2006-12-31 00:00:00
247,2007,3,Município,MG,3103405.0,ARAÇUAÍ,Produtor,GRANITO,-,"845,2405000000000000000",2007-01-31 00:00:00
247,2007,3,Município,MG,3134004.0,ITINGA,Produtor,LEPIDOLITA,-,"157,6575000000000000000",2007-01-31 00:00:00
247,2007,3,Município,MG,3134004.0,ITINGA,Produtor,MINÉRIO DE OURO,-,"80,7040000000000000000",2007-01-31 00:00:00
