Ano,Mês,Processo,AnoDoProcesso,Tipo_PF_PJ,CPF_CNPJ,Substância,UF,CodigoMunicipio,Município,QuantidadeComercializada,UnidadeDeMedida,ValorRecolhido,DataCriacao
2022,1,833597.0,2006.0,PJ,01969976000130,AREIA,MG,3168606,TEÓFILO OTONI,105,t  ,"125,7",2021-12-31 06:28:00
2022,1,833597.0,2006.0,PJ,01969976000130,AREIA,MG,3168606,TEÓFILO OTONI,70,t  ,"61,18",2021-12-31 06:42:00
2022,1,833597.0,2006.0,PJ,01969976000130,AREIA,MG,3168606,TEÓFILO OTONI,"128,8",t  ,"94,67",2021-12-31 06:26:00
2022,1,833597.0,2006.0,PJ,01969976000130,AREIA,MG,3168606,TEÓFILO OTONI,"165,2",t  ,"135,25",2021-12-31 06:43:00
2022,1,833597.0,2006.0,PJ,01969976000130,AREIA,MG,3168606,TEÓFILO OTONI,105,t  ,"80,67",2021-12-31 06:13:00
2022,1,834323.0,2007.0,PJ,03933619000147,GRANITO,MG,3156502,RUBELITA,"385,73",t  ,"10149,6",2021-12-21 09:51:00
2022,1,830195.0,2003.0,PJ,15783338000134,GRANITO,MG,3156502,RUBELITA,"166,58",m3 ,"4265,95",2021-12-27 09:51:00
2022,1,833804.0,2008.0,PJ,25897802000177,ARGILA,MG,3169703,TURMALINA,450000,kg ,90,2021-12-17 11:50:00
2022,1,830683.0,2015.0,PJ,03478696000154,AREIA,MG,3168606,TEÓFILO OTONI,"318,16",t  ,"111,2",2022-01-11 08:35:00
2022,1,830653.0,2012.0,PF,***056077**,AREIA,MG,3171600,VIRGEM DA LAPA,480,t  ,"59,61",2022-01-06 15:55:00
2022,1,832586.0,2009.0,PJ,09094556000169,GRANITO,MG,3119500,CORONEL MURTA,"12,26",m3 ,"116,13",2022-01-12 13:52:00
2022,1,832119.0,1986.0,PJ,42794263000160,FELDSPATO,MG,3157005,SALINAS,"94,25",m3 ,"14255,9",2022-01-24 14:17:00
2022,1,830924.0,2015.0,PF,***046805**,AREIA,MG,3169703,TURMALINA,"454,5",t  ,"122,45",2022-01-24 20:43:00
2022,1,831071.0,2017.0,PJ,25102005000156,ARGILA,MG,3168606,TEÓFILO OTONI,360,t  ,"142,51",2022-01-26 15:01:00
2022,1,830805.0,2017.0,PJ,25102005000156,ARGILA,MG,3168606,TEÓFILO OTONI,101,t  ,"78,62",2022-01-25 10:22:00
2022,1,831415.0,2004.0,PJ,42837484000178,GRANITO,MG,3103405,ARAÇUAÍ,"12,4",m3 ,"136,48",2022-01-10 16:25:00
2022,1,832358.0,2008.0,PJ,01902521000105,ARGILA,MG,3169703,TURMALINA,1000,t  ,"40,31",2022-01-24 15:19:00
2022,1,832100.0,2006.0,PJ,03087551000122,GNAISSE,MG,3168606,TEÓFILO OTONI,"9956,15",t  ,"145,62",2022-01-05 13:59:00
2022,1,831501.0,2003.0,PJ,04867725000132,XISTO,MG,3134004,ITINGA,"8,38",m3 ,"3167,52",2022-01-31 14:33:00
2022,1,821951.0,1969.0,PJ,05106351000103,FELDSPATO,MG,3134004,ITINGA,"30,7",m3 ,"5459,55",2022-01-31 16:11:00
2022,1,832854.0,2003.0,PJ,05591773000103,GRANITO,MG,3134004,ITINGA,"64,57",m3 ,"4235,74",2022-01-14 10:09:00
2022,1,832779.0,2010.0,PJ,05591773000103,GRANITO,MG,3156502,RUBELITA,"11,19",m3 ,"520,25",2022-01-14 10:11:00
2022,1,831039.0,2012.0,PJ,10831894000115,AREIA,MG,3141801,MINAS NOVAS,"0,55",t  ,184,2022-01-14 15:52:00
2022,1,831039.0,2012.0,PJ,10831894000115,AREIA,MG,3141801,MINAS NOVAS,"0,63",t  ,"166,89",2022-01-07 16:28:00
2022,1,832033.0,2009.0,PJ,11430465000107,AREIA,MG,3103405,ARAÇUAÍ,"901,6",t  ,"187,82",2022-01-18 15:23:00
2022,1,830195.0,2003.0,PJ,15783338000134,GRANITO,MG,3156502,RUBELITA,"11,19",m3 ,"286,44",2022-01-31 16:14:00
2022,1,930078.0,1997.0,PJ,21228861000100,GRAFITA,MG,3148707,PEDRA AZUL,"98,32",t  ,"17806,08",2022-01-10 08:37:00
2022,1,832983.0,2011.0,PJ,25482167000167,ARGILA,MG,3169703,TURMALINA,600,t  ,"24,19",2022-01-24 15:30:00
